0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-0.7811284,-1.4317392,0.43460795,-0.87298465,0.23797794,0.17090897,0.46573952,2.0638158,-3.8070393,-0.25647062,0.9975856,1.8682562,0.88070387,-0.05799609,0.79544187,0.3201111,0.24942766,2.2483866,-2.6841173,0.471814,-1.6457461,-1.1705765,-0.73484707,1.6631843,0.6847103,1.0932008,-2.038481,-1.4688976,-2.54913,0.8175758,3.3021972,1.371176,-1.4356338,1.9115068,0.6190534,1.649861,0.8477323,-1.297747,3.6937885,1.5386358,0.7848868,0.6172755,0.558712,-2.1995673,1.6430283,0.7356974,1.8639557,-2.539787,2.0415628,0.07561629
0.57302356,0.13407704,0.98949677,-1.841296,0.010486256,0.57609487,-0.48405123,3.3691957,-2.6065357,-0.6887405,4.9277334,1.3317567,-1.0817974,0.55428046,-1.949555,1.5238928,1.0277987,1.9184021,-2.109349,-0.16793068,-2.8685997,-0.75206923,-0.63327783,0.66016936,-0.4198523,0.5064636,-0.9990067,-1.6313456,-3.4728384,3.0061212,4.8328567,1.9129083,-1.5590829,1.26742,-0.7943144,0.12874329,-2.0596118,-2.1726124,2.3863816,3.158649,-0.20467053,2.180182,0.047580957,-2.1106477,1.8183247,0.015819604,0.92010987,-2.6492388,1.4417418,1.6823143
-1.60973,-1.4843713,-1.7987229,-0.76381516,-0.18770923,1.6636435,-1.5139027,1.9156913,-4.8431015,3.162446,3.5200245,0.66063297,-1.0488054,-0.112561,-3.903268,1.3236339,2.7301445,1.0400335,-1.0506974,-2.7703233,-3.4180708,-2.1503935,-0.46398285,-1.3740852,1.1195892,1.0802652,1.5101316,-0.2778139,-1.7308503,2.8736846,4.722883,1.595554,-1.8192201,1.1175191,1.1484706,-0.12906015,-3.3944688,-0.8621289,1.0934194,3.0393062,0.85731983,2.354614,-3.5139642,-4.143994,1.0286533,-0.6471191,1.3825066,-1.0735201,3.9076004,1.7115705
-2.0749853,-2.277936,-2.1295385,0.7288894,0.5755305,2.6435862,-0.9386832,2.8567207,-4.971616,3.1533887,3.195281,1.6608187,-1.4983474,-0.46158865,-3.9121444,1.1268713,2.6251292,1.2857248,-1.801163,-4.333541,-3.5561638,-2.3369243,0.022899749,-1.6750674,1.0344052,1.8143512,0.77641445,-0.3945274,-1.2194533,2.459702,4.085568,3.1854954,-0.6407166,1.3652456,-0.6277894,1.8400341,-3.9743745,-1.2413441,-0.72047275,2.4963858,0.65908945,3.5178425,-2.8078809,-4.8819704,2.2081993,-2.469343,1.3510226,-0.70274055,3.0690053,2.6411407
-0.6523256,0.005477972,-1.5417907,-1.4510655,0.119337,3.147289,-0.7840245,1.8811479,-4.4755697,2.0699606,4.225697,0.33339372,-1.3684483,-0.9299792,-2.7928333,0.61658466,2.168724,1.1600956,-1.2288764,-3.3298962,-4.032823,-0.9951058,0.14405052,-1.7942961,0.7500198,1.8146309,1.4783927,0.32430282,-0.4969332,2.813544,5.7756195,2.2843437,-2.1541004,0.97382593,1.5510356,0.48049068,-1.5010396,-1.4059409,1.7458957,2.390969,0.5122712,3.4086099,-2.8623297,-4.0139136,1.3727014,0.52985406,1.9335331,-0.76111865,4.7997403,2.8462791
-0.8299488,-1.5220497,-3.1000702,0.20450185,0.16745609,1.4899048,-2.1892996,1.861074,-4.1904535,2.6896524,2.8640308,0.9265212,-0.52323323,-0.38401496,-2.3851202,0.7333365,2.813979,1.4476378,-0.70649254,-3.298494,-4.750896,-1.845832,-0.73004895,-0.6714952,2.2955751,2.6503854,2.3757074,-0.18136647,-0.57514125,2.2357845,4.579409,2.4059398,-1.2436619,1.5108459,1.5158747,1.0089742,-1.0656568,-0.70793575,2.6401436,2.4618185,-0.9404685,3.7635205,-3.2736084,-4.3843923,0.42479253,-0.34090906,1.9406161,-0.3213104,4.670188,2.755257
-1.4257798,-1.670454,-2.656557,-2.8119967,-3.7078383,3.2288766,-4.29529,2.3246596,-5.8711376,3.8690557,0.4725436,4.118104,1.7240946,-3.3886049,-3.0774438,-1.6266856,1.10149,1.1955013,3.284279,-1.5696511,2.6023586,-1.4452666,-6.3892527,-0.5499691,3.0777366,1.2562987,-5.916103,1.2049284,-0.6590702,-1.2373985,-0.1713191,3.6915982,-7.2728896,1.5463634,3.2515938,0.34159446,2.8945925,-3.2993243,5.688604,-0.32245737,-2.6597521,1.3187854,-3.7247283,-2.7838886,-1.8189236,3.30111,2.9324825,-0.76907057,1.8033142,3.8354337
-1.237873,-4.7372856,-3.1566706,-2.628624,-1.6920832,1.3346764,-0.14194684,2.0153112,-4.0581727,2.4164886,-0.9013268,2.865208,0.04904502,1.2055647,1.7675459,-2.8785672,0.65915245,-1.6348584,-4.5395975,-5.304467,-1.8886921,-2.6116648,-2.2449188,0.8448727,0.9763075,2.7055554,-1.9028726,0.55338264,0.0017725441,-0.15977758,-0.34230134,2.968983,0.82027227,2.5390313,1.5959985,4.4860816,2.1175025,-0.2511604,5.3200564,0.81459427,0.110308744,1.931145,-1.7551748,-1.294667,0.1144345,-0.9330629,-0.070367984,-0.07762895,3.9179652,0.04571203
-1.2984077,-3.6366823,-1.8507189,-2.1918619,-1.5251033,3.6691566,0.3899914,2.2984421,-3.1319134,1.2581687,0.01955372,3.3914168,0.032332648,0.17994723,1.3619628,0.051916853,-1.1856122,-0.5447023,-1.7811806,-1.4545839,-0.38665923,-0.6761501,-1.1734908,2.5037222,2.3018448,1.0539938,-2.9349456,-1.4738339,-1.8922678,-1.6322902,-0.5420586,3.411678,-0.81931925,0.8383629,0.48148826,4.234127,1.9965501,-3.0792985,2.4536946,-1.0420139,1.4392827,3.290353,-2.8355353,-0.46187574,-0.04557868,1.0334847,-0.18401432,-1.4947907,2.9924443,3.0564952
-0.3326037,-3.9768643,-5.6837997,0.10518782,-0.7606732,0.54584,-1.5208187,4.552665,-3.9277608,1.3811358,-2.3508148,5.402931,-0.7032053,-4.112405,0.23029564,-0.5967335,-0.3264733,2.6533544,-3.0731359,-1.5407063,-0.8384854,-2.2906077,-3.8755896,-0.24214606,-0.44358426,1.9798678,-3.74957,-2.7658606,0.16233446,-1.9209576,-0.35632807,5.759198,-1.9684205,0.7030181,2.3927164,4.5648236,3.0169446,-4.363012,-0.034408435,0.9174217,0.38977224,2.0264115,0.23709138,-0.70897996,0.8484444,1.5479474,-1.958908,-2.5055168,1.2229674,1.6139482
-1.4052153,-5.543191,4.4750967,-3.052657,-1.1008791,2.5785153,0.698092,4.166123,-4.6948695,-0.009749158,0.8807725,3.0326247,-0.25046456,-2.3299766,-1.1481322,-3.448911,2.0866094,0.7149229,-6.404796,3.3142471,-2.3813767,-1.1021019,-3.7047446,0.510014,-1.6270016,-2.694202,-6.198177,0.11792358,-3.7084515,1.034017,2.6661577,7.333859,-5.3985105,-3.2705972,0.391493,0.86252135,-4.0158224,-2.5196106,-1.2447184,2.9616852,2.6928382,5.3704276,-1.2491211,-0.76241994,3.648611,2.1142635,-0.844106,-3.900041,3.7116907,-0.59059507
4.85468,-8.126137,1.8809751,-2.5749547,3.4654922,4.610795,2.6818802,4.230895,-5.432558,-3.482657,3.389119,9.60474,1.1562413,2.0734584,1.9460539,3.45769,2.001267,0.85354877,-6.6330504,2.4793274,-6.775508,-1.2394089,-1.2311366,10.486999,0.73697364,0.32887796,-9.794161,-0.893932,-7.4968147,2.379692,2.771391,5.30609,-7.037749,-5.3923974,-0.25004947,3.6815877,-0.16486193,-2.35423,7.167776,9.103856,1.8880522,5.2935505,-2.219035,-3.6273875,4.5576515,-1.4707894,2.0882215,-5.7890215,1.029411,3.3186226
-0.98348546,-6.3026485,4.882271,-3.3931522,-1.4965199,2.5260751,0.89475924,4.3737326,-5.1571593,-0.5839172,1.0175848,3.2582138,-0.5212867,-2.3236542,-0.86523104,-3.5502615,2.5767074,0.6197285,-7.2896423,3.6107473,-2.4016223,-1.6198019,-3.5472114,0.97606844,-1.2539675,-2.7944863,-6.864001,0.407225,-4.226356,1.2957523,3.19523,8.349844,-5.880064,-2.983335,0.5721071,0.71046406,-4.4575877,-2.7906964,-1.0162935,3.4942005,3.2396553,5.7559757,-0.7893304,-1.1251612,3.7906442,2.1862822,-0.758781,-4.6708574,3.590983,-0.7692445
